Isolate	replicate	Temperature	Slope
PR15	1	5	0
PR15	2	5	0
PR15	3	5	0
PP15-01	1	5	0
PP15-01	2	5	0
PP15-01	3	5	0
PR15	1	35	0
PR15	2	35	0
PR15	3	35	0
PP15-01	1	35	0
PP15-01	2	35	0
PP15-01	3	35	0
PR15	1	10	0.815256983
PR15	2	10	0.724122905
PR15	3	10	0.760921788
PP15-01	1	10	0.724650838
PP15-01	2	10	0.776326816
PP15-01	3	10	0.770879888
PR15	1	15	1.384254292
PR15	2	15	1.468830472
PR15	3	15	1.478889485
PP15-01	1	15	1.329265021
PP15-01	2	15	1.349222103
PP15-01	3	15	1.32832618
PR15	1	20	2.650862069
PR15	2	20	2.629310345
PR15	3	20	3.034482759
PP15-01	1	20	2.672413793
PP15-01	2	20	3.51091954
PP15-01	3	20	3.068965517
PR15	1	25	3.207142857
PR15	2	25	3.3
PR15	3	25	2.607142857
PP15-01	1	25	3.55
PP15-01	2	25	3.242857143
PP15-01	3	25	3.487142857
PR15	1	30	5.015463918
PR15	2	30	5.038659794
PR15	3	30	5.051546392
PP15-01	1	30	5.154639175
PP15-01	2	30	5.469072165
PP15-01	3	30	5.231958763
