Isolate	Temperature	Replicate	DPI	Severity
P15_Root	15	1	8	0
P15_Root	15	2	8	0
P15_Root	15	3	8	0
P15_Root	15	4	8	0
P15_Root	15	5	8	0
P15_Pear	15	1	8	0
P15_Pear	15	2	8	0
P15_Pear	15	3	8	1
P15_Pear	15	4	8	0
P15_Pear	15	5	8	1
Ctl	15	1	8	0
Ctl	15	2	8	0
Ctl	15	3	8	0
Ctl	15	4	8	0
Ctl	15	5	8	0
Ctl	15	1	8	0
Ctl	15	2	8	0
Ctl	15	3	8	0
Ctl	15	4	8	0
Ctl	15	5	8	0
P15_Root	15	1	15	0
P15_Root	15	2	15	0
P15_Root	15	3	15	0
P15_Root	15	4	15	0
P15_Root	15	5	15	0
P15_Pear	15	1	15	1
P15_Pear	15	2	15	0
P15_Pear	15	3	15	1
P15_Pear	15	4	15	0
P15_Pear	15	5	15	1
Ctl	15	1	15	0
Ctl	15	2	15	0
Ctl	15	3	15	0
Ctl	15	4	15	0
Ctl	15	5	15	0
Ctl	15	1	15	0
Ctl	15	2	15	0
Ctl	15	3	15	0
Ctl	15	4	15	0
Ctl	15	5	15	0
P15_Root	15	1	28	1
P15_Root	15	2	28	0
P15_Root	15	3	28	1
P15_Root	15	4	28	1
P15_Root	15	5	28	0
P15_Pear	15	1	28	1
P15_Pear	15	2	28	0
P15_Pear	15	3	28	1
P15_Pear	15	4	28	0
P15_Pear	15	5	28	1
Ctl	15	1	28	0
Ctl	15	2	28	0
Ctl	15	3	28	0
Ctl	15	4	28	0
Ctl	15	5	28	0
Ctl	15	1	28	0
Ctl	15	2	28	0
Ctl	15	3	28	0
Ctl	15	4	28	0
Ctl	15	5	28	0
P15_Root	15	1	37	1
P15_Root	15	2	37	1
P15_Root	15	3	37	2
P15_Root	15	4	37	1
P15_Root	15	5	37	0
P15_Pear	15	1	37	1
P15_Pear	15	2	37	0
P15_Pear	15	3	37	1
P15_Pear	15	4	37	1
P15_Pear	15	5	37	1
Ctl	15	1	37	0
Ctl	15	2	37	0
Ctl	15	3	37	0
Ctl	15	4	37	0
Ctl	15	5	37	0
Ctl	15	1	37	0
Ctl	15	2	37	0
Ctl	15	3	37	0
Ctl	15	4	37	0
Ctl	15	5	37	0
P15_Root	15	1	45	1
P15_Root	15	2	45	1
P15_Root	15	3	45	2
P15_Root	15	4	45	1
P15_Root	15	5	45	0
P15_Pear	15	1	45	1
P15_Pear	15	2	45	0
P15_Pear	15	3	45	2
P15_Pear	15	4	45	1
P15_Pear	15	5	45	2
Ctl	15	1	45	0
Ctl	15	2	45	0
Ctl	15	3	45	0
Ctl	15	4	45	0
Ctl	15	5	45	0
Ctl	15	1	45	0
Ctl	15	2	45	0
Ctl	15	3	45	0
Ctl	15	4	45	0
Ctl	15	5	45	0
P15_Root	15	1	56	2
P15_Root	15	2	56	1
P15_Root	15	3	56	3
P15_Root	15	4	56	2
P15_Root	15	5	56	1
P15_Pear	15	1	56	2
P15_Pear	15	2	56	2
P15_Pear	15	3	56	3
P15_Pear	15	4	56	2
P15_Pear	15	5	56	3
Ctl	15	1	56	0
Ctl	15	2	56	0
Ctl	15	3	56	1
Ctl	15	4	56	0
Ctl	15	5	56	1
Ctl	15	1	56	1
Ctl	15	2	56	0
Ctl	15	3	56	1
Ctl	15	4	56	1
Ctl	15	5	56	1
P15_Root	25	1	8	0
P15_Root	25	2	8	0
P15_Root	25	3	8	0
P15_Root	25	4	8	0
P15_Root	25	5	8	0
P15_Pear	25	1	8	0
P15_Pear	25	2	8	0
P15_Pear	25	3	8	1
P15_Pear	25	4	8	0
P15_Pear	25	5	8	1
Ctl	25	1	8	0
Ctl	25	2	8	0
Ctl	25	3	8	0
Ctl	25	4	8	0
Ctl	25	5	8	0
Ctl	25	1	8	0
Ctl	25	2	8	0
Ctl	25	3	8	0
Ctl	25	4	8	0
Ctl	25	5	8	0
P15_Root	25	1	15	2
P15_Root	25	2	15	1
P15_Root	25	3	15	2
P15_Root	25	4	15	1
P15_Root	25	5	15	2
P15_Pear	25	1	15	2
P15_Pear	25	2	15	1
P15_Pear	25	3	15	2
P15_Pear	25	4	15	1
P15_Pear	25	5	15	2
Ctl	25	1	15	0
Ctl	25	2	15	0
Ctl	25	3	15	0
Ctl	25	4	15	0
Ctl	25	5	15	0
Ctl	25	1	15	0
Ctl	25	2	15	0
Ctl	25	3	15	0
Ctl	25	4	15	1
Ctl	25	5	15	0
P15_Root	25	1	28	2
P15_Root	25	2	28	2
